,customer_city,customer_id,customer_state,customer_unique_id,customer_zip_code_prefix,freight_value,month,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,order_id,order_item_id,order_purchase_timestamp,order_status,payment_installments,payment_sequential,payment_type,payment_value,price,product_category_name_english,product_description_lenght,product_height_cm,product_id,product_length_cm,product_name_lenght,product_photos_qty,product_weight_g,product_width_cm,quantity,review_answer_timestamp,review_comment_message,review_comment_title,review_creation_date,review_id,review_score,seller_city,seller_id,seller_state,seller_zip_code_prefix,shipping_limit_date,timestamp,year
0,sao paulo,9ef432eb6251297304e76186b10a928d,SP,7c396fd4830fd04220f754e42b4e5bff,3149,8.72,10,2017-10-02 11:07:15,2017-10-04 19:55:00,2017-10-10 21:25:13,2017-10-18 00:00:00,e481f51cbdc54678b7cc49136f2d6af7,1.0,2017-10-02 10:56:33,delivered,1.0,1.0,credit_card,18.12,29.99,housewares,268.0,8.0,87285b34884572647811a353c7ac498a,19.0,40.0,4.0,500.0,13.0,3,2017-10-12 03:43:48,"Não testei o produto ainda, mas ele veio correto e em boas condições. Apenas a caixa que veio bem amassada e danificada, o que ficará chato, pois se trata de um presente.",No title,2017-10-11 00:00:00,a54f0611adc9ed256b57ede6b6eb5114,4.0,maua,3504c0cb71d7fa48d967e0e4c94d59d9,SP,9350.0,2017-10-06 11:07:15,1506941793.0,2017
1,sao paulo,9ef432eb6251297304e76186b10a928d,SP,7c396fd4830fd04220f754e42b4e5bff,3149,8.72,10,2017-10-02 11:07:15,2017-10-04 19:55:00,2017-10-10 21:25:13,2017-10-18 00:00:00,e481f51cbdc54678b7cc49136f2d6af7,1.0,2017-10-02 10:56:33,delivered,1.0,3.0,voucher,2.0,29.99,housewares,268.0,8.0,87285b34884572647811a353c7ac498a,19.0,40.0,4.0,500.0,13.0,3,2017-10-12 03:43:48,"Não testei o produto ainda, mas ele veio correto e em boas condições. Apenas a caixa que veio bem amassada e danificada, o que ficará chato, pois se trata de um presente.",No title,2017-10-11 00:00:00,a54f0611adc9ed256b57ede6b6eb5114,4.0,maua,3504c0cb71d7fa48d967e0e4c94d59d9,SP,9350.0,2017-10-06 11:07:15,1506941793.0,2017
2,sao paulo,9ef432eb6251297304e76186b10a928d,SP,7c396fd4830fd04220f754e42b4e5bff,3149,8.72,10,2017-10-02 11:07:15,2017-10-04 19:55:00,2017-10-10 21:25:13,2017-10-18 00:00:00,e481f51cbdc54678b7cc49136f2d6af7,1.0,2017-10-02 10:56:33,delivered,1.0,2.0,voucher,18.59,29.99,housewares,268.0,8.0,87285b34884572647811a353c7ac498a,19.0,40.0,4.0,500.0,13.0,3,2017-10-12 03:43:48,"Não testei o produto ainda, mas ele veio correto e em boas condições. Apenas a caixa que veio bem amassada e danificada, o que ficará chato, pois se trata de um presente.",No title,2017-10-11 00:00:00,a54f0611adc9ed256b57ede6b6eb5114,4.0,maua,3504c0cb71d7fa48d967e0e4c94d59d9,SP,9350.0,2017-10-06 11:07:15,1506941793.0,2017
3,sao paulo,a20e8105f23924cd00833fd87daa0831,SP,3a51803cc0d012c3b5dc8b7528cb05f7,3366,7.78,8,2017-08-15 20:05:16,2017-08-17 15:28:33,2017-08-18 14:44:43,2017-08-28 00:00:00,128e10d95713541c87cd1a2e48201934,1.0,2017-08-15 18:29:31,delivered,3.0,1.0,credit_card,37.77,29.99,housewares,268.0,8.0,87285b34884572647811a353c7ac498a,19.0,40.0,4.0,500.0,13.0,1,2017-08-20 15:16:36,Deveriam embalar melhor o produto. A caixa veio toda amassada e vou dar de presente. ,No title,2017-08-19 00:00:00,b46f1e34512b0f4c74a72398b03ca788,4.0,maua,3504c0cb71d7fa48d967e0e4c94d59d9,SP,9350.0,2017-08-21 20:05:16,1502821771.0,2017
4,sao paulo,26c7ac168e1433912a51b924fbd34d34,SP,ef0996a1a279c26e7ecbd737be23d235,2290,7.78,8,2017-08-02 18:43:15,2017-08-04 17:35:43,2017-08-07 18:30:01,2017-08-15 00:00:00,0e7e841ddf8f8f2de2bad69267ecfbcf,1.0,2017-08-02 18:24:47,delivered,1.0,1.0,credit_card,37.77,29.99,housewares,268.0,8.0,87285b34884572647811a353c7ac498a,19.0,40.0,4.0,500.0,13.0,1,2017-08-08 23:26:23,"Só achei ela pequena pra seis xícaras ,mais é um bom produto
",No title,2017-08-08 00:00:00,dc90f19c2806f1abba9e72ad3c350073,5.0,maua,3504c0cb71d7fa48d967e0e4c94d59d9,SP,9350.0,2017-08-08 18:37:31,1501698287.0,2017
5,florianopolis,53904ddbea91e1e92b2b3f1d09a7af86,SC,e781fdcc107d13d865fc7698711cc572,88032,14.1,10,2017-10-25 02:14:11,2017-10-27 16:48:46,2017-11-07 18:04:59,2017-11-13 00:00:00,bfc39df4f36c3693ff3b63fcbea9e90a,1.0,2017-10-23 23:26:46,delivered,1.0,1.0,boleto,44.09,29.99,housewares,268.0,8.0,87285b34884572647811a353c7ac498a,19.0,40.0,4.0,500.0,13.0,1,2017-11-10 19:52:38,No message,No title,2017-11-08 00:00:00,1bafb430e498b939f258b9c9dbdff9b1,3.0,maua,3504c0cb71d7fa48d967e0e4c94d59d9,SP,9350.0,2017-10-31 02:14:11,1508801206.0,2017
6,itaquaquecetuba,ab8844663ae049fda8baf15fc928f47f,SP,02c9e0c05a817d4562ec0e8c90f29dba,8577,7.79,8,2017-08-10 13:50:09,2017-08-11 13:52:35,2017-08-16 19:03:36,2017-08-23 00:00:00,8736140c61ea584cb4250074756d8f3b,1.0,2017-08-10 13:35:55,delivered,1.0,1.0,credit_card,83.69,75.9,baby,398.0,10.0,b00a32a0b42fd65efb58a5822009f629,20.0,58.0,3.0,238.0,15.0,1,2017-08-21 12:43:27,"custo beneficio, simples de usar e rápido",No title,2017-08-17 00:00:00,b8238c6515192f8129081e17dc57d169,5.0,maua,3504c0cb71d7fa48d967e0e4c94d59d9,SP,9350.0,2017-08-16 13:50:09,1502372155.0,2017
7,campinas,e902cb9d9992a69a267f69dec57aa3a3,SP,28adbfbaf0b9c5e5a0555a8c853a7534,13060,7.79,8,2017-08-15 02:15:13,2017-08-16 15:52:29,2017-08-25 21:59:26,2017-08-28 00:00:00,88407c8c6e12493ff6e845df39540112,1.0,2017-08-15 02:03:01,delivered,2.0,1.0,credit_card,83.69,75.9,baby,398.0,10.0,b00a32a0b42fd65efb58a5822009f629,20.0,58.0,3.0,238.0,15.0,1,2017-08-28 20:10:38,muitro bom o produto chegou dentro do prazo.,No title,2017-08-26 00:00:00,186b702b3817fd5cc00b201b11764d63,4.0,maua,3504c0cb71d7fa48d967e0e4c94d59d9,SP,9350.0,2017-08-21 02:15:13,1502762581.0,2017
8,curitiba,d67b6cca5a87299f711a6961f579fe67,PR,aea90564d6f09ae11bf936f55ed49d72,82030,14.28,8,2017-08-02 02:50:25,2017-08-03 14:36:34,2017-08-09 19:56:50,2017-08-23 00:00:00,4f2acff0b7d2bcc4a408abe5a223d407,1.0,2017-08-01 16:31:35,delivered,1.0,1.0,boleto,90.18,75.9,baby,398.0,10.0,b00a32a0b42fd65efb58a5822009f629,20.0,58.0,3.0,238.0,15.0,1,2017-08-11 21:08:38,No message,No title,2017-08-10 00:00:00,567900cb1263f2ee7341989937a789cc,5.0,maua,3504c0cb71d7fa48d967e0e4c94d59d9,SP,9350.0,2017-08-08 02:50:25,1501605095.0,2017
9,campinas,e3893e579755de4feb1a4d0313c103fa,SP,cd6b577df45c00daa6b2767eaa947c72,13092,7.79,8,2017-08-10 14:23:38,2017-08-11 13:52:35,2017-08-12 11:56:49,2017-08-23 00:00:00,019aaee09698daf81dcffe9d94a18b5c,1.0,2017-08-10 14:04:58,delivered,2.0,1.0,credit_card,83.69,75.9,baby,398.0,10.0,b00a32a0b42fd65efb58a5822009f629,20.0,58.0,3.0,238.0,15.0,1,2017-08-14 12:24:58,"tudo correu bem com a loja e com a entrega mas o produto não funcionou, vou devolver",No title,2017-08-13 00:00:00,43334848a48a7abf6faa2f8aba675b8a,2.0,maua,3504c0cb71d7fa48d967e0e4c94d59d9,SP,9350.0,2017-08-16 14:23:38,1502373898.0,2017
10,rio de janeiro,74380820e581b5e8585abc1b5e11c079,RJ,11f61cff2e9a4f0dc6fbbe30faa54b18,21340,14.28,8,2017-08-07 22:25:11,2017-08-08 13:00:00,2017-08-16 11:42:26,2017-08-29 00:00:00,e37531db8933bdce0f86e9dc3768759e,1.0,2017-08-07 21:48:23,delivered,1.0,1.0,credit_card,90.18,75.9,baby,398.0,10.0,b00a32a0b42fd65efb58a5822009f629,20.0,58.0,3.0,238.0,15.0,1,2017-08-17 15:26:15,No message,No title,2017-08-17 00:00:00,e2da524e62e92bd275c2ad9805a80aa4,5.0,maua,3504c0cb71d7fa48d967e0e4c94d59d9,SP,9350.0,2017-08-13 22:25:11,1502142503.0,2017
11,jaguariuna,fc2697314ab7fbeda62bb6f1afa4efcd,SP,bdd30e6e39cc70dde8665187b57af402,13820,7.78,7,2017-07-12 14:30:18,2017-07-13 12:47:05,2017-07-18 16:24:42,2017-07-25 00:00:00,a0151737f2f0c6c0a5fd69d45f66ceea,1.0,2017-07-12 14:11:58,delivered,2.0,1.0,credit_card,52.77,44.99,cool_stuff,537.0,5.0,725cbfcaff95a4d43742fdf13cf43c75,34.0,58.0,2.0,1850.0,34.0,1,2017-07-24 13:59:59,No message,No title,2017-07-19 00:00:00,fa5bf792d42ed25f80c54d18aeaa83de,4.0,maua,3504c0cb71d7fa48d967e0e4c94d59d9,SP,9350.0,2017-07-18 14:30:18,1499868718.0,2017
12,osasco,3718e1873d5dc3e8d96c0ab783278b02,SP,1bcb517dc3cc80868d2fa941174f386c,6298,7.78,7,2017-07-25 22:25:11,2017-07-26 14:57:42,2017-07-28 19:06:46,2017-08-04 00:00:00,a3bf941183211246f0d42ad757cba127,1.0,2017-07-24 22:16:25,delivered,2.0,1.0,credit_card,52.77,44.99,cool_stuff,537.0,5.0,725cbfcaff95a4d43742fdf13cf43c75,34.0,58.0,2.0,1850.0,34.0,1,2017-08-01 20:06:40,No message,No title,2017-07-29 00:00:00,5fe3f65882f521f0fbc41e59b9fbff24,4.0,maua,3504c0cb71d7fa48d967e0e4c94d59d9,SP,9350.0,2017-07-31 22:25:11,1500934585.0,2017
13,jundiai,945080eedd200e670d94e8b707422871,SP,0e78d5d8e92c4454512d545b10be8585,13211,7.78,7,2017-07-05 17:38:31,2017-07-06 11:04:07,2017-07-07 20:44:41,2017-07-18 00:00:00,e8f1a30189522698bfce82adf60472e7,1.0,2017-07-05 11:58:33,delivered,2.0,1.0,credit_card,52.77,44.99,cool_stuff,537.0,5.0,725cbfcaff95a4d43742fdf13cf43c75,34.0,58.0,2.0,1850.0,34.0,1,2017-07-10 11:36:23,No message,No title,2017-07-08 00:00:00,f08ff01cc53b9e3acd39659fd8008cb4,5.0,maua,3504c0cb71d7fa48d967e0e4c94d59d9,SP,9350.0,2017-07-11 17:28:13,1499255913.0,2017
14,sao paulo,f6c383cc79b182ce1550bc57504941c3,SP,59b5158dcd4ab8fce908aba30ea36cc9,2919,7.78,8,2017-08-02 22:25:18,2017-08-04 13:39:51,2017-08-08 17:56:12,2017-08-15 00:00:00,e71fb32bec49dd4112bcbcc19126d388,1.0,2017-08-02 22:12:03,delivered,1.0,1.0,credit_card,2.77,44.99,cool_stuff,537.0,5.0,725cbfcaff95a4d43742fdf13cf43c75,34.0,58.0,2.0,1850.0,34.0,2,2017-08-10 01:33:50,No message,No title,2017-08-09 00:00:00,cb88f291b71e37563db00a6a0b5919c7,5.0,maua,3504c0cb71d7fa48d967e0e4c94d59d9,SP,9350.0,2017-08-08 22:25:18,1501711923.0,2017
15,sao paulo,f6c383cc79b182ce1550bc57504941c3,SP,59b5158dcd4ab8fce908aba30ea36cc9,2919,7.78,8,2017-08-02 22:25:18,2017-08-04 13:39:51,2017-08-08 17:56:12,2017-08-15 00:00:00,e71fb32bec49dd4112bcbcc19126d388,1.0,2017-08-02 22:12:03,delivered,1.0,2.0,voucher,50.0,44.99,cool_stuff,537.0,5.0,725cbfcaff95a4d43742fdf13cf43c75,34.0,58.0,2.0,1850.0,34.0,2,2017-08-10 01:33:50,No message,No title,2017-08-09 00:00:00,cb88f291b71e37563db00a6a0b5919c7,5.0,maua,3504c0cb71d7fa48d967e0e4c94d59d9,SP,9350.0,2017-08-08 22:25:18,1501711923.0,2017
16,sao paulo,d91337c4d268a8a9f17bef015ce9af3d,SP,f4f203a8ddb0c3e44212a6eaf379348e,8441,11.73,8,2017-08-15 10:45:49,2017-08-16 15:52:28,2017-08-19 16:06:37,2017-08-28 00:00:00,03eae39a27aeab0f8c9ad5b84555a6d1,1.0,2017-08-15 10:23:57,delivered,1.0,1.0,credit_card,60.63,48.9,cool_stuff,537.0,5.0,725cbfcaff95a4d43742fdf13cf43c75,34.0,58.0,2.0,1850.0,34.0,1,2017-08-21 19:16:44,Chegou antes do prazo,No title,2017-08-20 00:00:00,e6900bd37ec7a3f7b0f0a6c81034ee7d,5.0,maua,3504c0cb71d7fa48d967e0e4c94d59d9,SP,9350.0,2017-08-21 10:45:49,1502792637.0,2017
17,ouro preto,94602ee2b2723266d391c94e7d1f4d89,MG,3b63e7ae5d6058eb51567425722cff95,35400,15.1,8,2017-08-07 12:43:37,2017-08-08 13:32:49,2017-08-17 18:24:38,2017-08-29 00:00:00,de01100645b731556de153cfbebc35b1,1.0,2017-08-07 12:13:26,delivered,5.0,1.0,credit_card,60.09,44.99,cool_stuff,537.0,5.0,725cbfcaff95a4d43742fdf13cf43c75,34.0,58.0,2.0,1850.0,34.0,1,2017-08-23 17:41:59,fiquei muito satisfeita com o atendimento e com o produto,No title,2017-08-18 00:00:00,ca7cb3748121ff40c9593af97a039ffb,5.0,maua,3504c0cb71d7fa48d967e0e4c94d59d9,SP,9350.0,2017-08-11 12:34:15,1502108006.0,2017
18,sao paulo,856f3263eb7af3a48765c85d4d0eea1d,SP,8b8d696df5beff17e7cfef915f0d1d78,5782,11.73,9,2017-09-26 21:49:42,2017-09-28 15:28:03,2017-10-03 13:38:04,2017-10-11 00:00:00,1f201b2bf1eecbd0ad32c3f430846b84,1.0,2017-09-26 21:32:17,delivered,4.0,1.0,credit_card,60.63,48.9,cool_stuff,537.0,5.0,725cbfcaff95a4d43742fdf13cf43c75,34.0,58.0,2.0,1850.0,34.0,1,2017-10-06 18:30:17,No message,No title,2017-10-04 00:00:00,677c67d89dafa61cb029b50d92a0686d,3.0,maua,3504c0cb71d7fa48d967e0e4c94d59d9,SP,9350.0,2017-10-02 21:49:42,1506461537.0,2017
19,sao paulo,7cc4123da344ba5ca2fa23c0f7903fce,SP,a6b38dcfe711532c6f588ca185770b2d,5417,7.78,7,2017-07-21 10:23:25,2017-07-25 19:45:28,2017-07-26 21:13:05,2017-08-03 00:00:00,84aaa1a774e37a0a7c1a5413dc49e168,1.0,2017-07-21 10:03:34,delivered,1.0,1.0,credit_card,52.77,44.99,cool_stuff,537.0,5.0,725cbfcaff95a4d43742fdf13cf43c75,34.0,58.0,2.0,1850.0,34.0,1,2017-07-28 14:11:10,No message,No title,2017-07-27 00:00:00,6fda8978599edf0f42e3f19e90c51d79,5.0,maua,3504c0cb71d7fa48d967e0e4c94d59d9,SP,9350.0,2017-07-27 10:23:25,1500631414.0,2017
